   Time(min)       E_A(MeV)       C_A(uA)        AirMon_A       E_C(MeV)       C_C(uA)        AirMon_C     C_BSY(uA)      AirMon_BSY      AirMon_B        C_D(nA)        AirMon_D      AirMon_L       AirMon_SL
  5.5500000e+03  2.1835100e+03  1.6666666e-05  2.3021445e-07  1.0431500e+04  9.0124774e-01  2.9380463e-07  2.5003048e-05  1.9235885e-07  9.9999999e-09  3.1291968e-01  1.7317914e-07  9.0652983e+01  9.9999999e-09
  5.6100000e+03  2.1835100e+03  0.0000000e+00  2.0041947e-07  1.0431500e+04  5.6193632e-01  3.3063698e-07  1.6670121e-05  4.3696944e-07  9.9999999e-09  2.9291934e-01  1.8417173e-07  8.9825623e+01  9.9999999e-09
  5.6700000e+03  2.1835100e+03  0.0000000e+00  1.8192993e-07  1.0431500e+04  2.4999998e-05  4.0455548e-07  0.0000000e+00  5.1054587e-07  9.9999999e-09  2.9374418e-01  1.4429142e-07  9.0201891e+01  9.9999999e-09
  5.7300000e+03  2.1835100e+03  1.6666666e-05  1.7497633e-07  1.0431500e+04  1.6666666e-05  3.2412211e-07  8.3333328e-06  1.9664035e-07  9.9999999e-09  3.0084195e-01  1.7218938e-07  8.9218356e+01  9.9999999e-09
  5.7900000e+03  2.1835100e+03  1.6666666e-05  2.2210918e-07  1.0431500e+04  1.6666666e-05  3.4282368e-07  8.3333328e-06  1.2764568e-06  9.9999999e-09  6.9600391e+00  1.7433228e-07  8.9407001e+01  9.9999999e-09
  5.8500000e+03  2.1835100e+03  3.3333331e-05  2.0614653e-07  1.0431500e+04  1.6666666e-05  3.7736278e-07  8.3333328e-06  1.3448860e-06  9.9999999e-09  7.6727311e+01  2.1388914e-07  8.8542829e+01  9.9999999e-09
  5.9100000e+03  2.1835100e+03  0.0000000e+00  2.1649509e-07  1.0431500e+04  1.6666666e-05  3.5333614e-07  8.3333328e-06  1.9216058e-06  9.9999999e-09  9.7948173e+01  2.5326286e-07  8.7821106e+01  9.9999999e-09
  5.9700000e+03  2.1835100e+03  2.4999998e-05  1.8152293e-07  1.0431500e+04  8.3333328e-06  3.9010918e-07  1.6666666e-05  1.0448478e-06  9.9999999e-09  7.9953501e+01  2.5490450e-07  8.3609688e+01  9.9999999e-09
  6.0300000e+03  2.1835100e+03  8.3333328e-06  2.0359810e-07  1.0431500e+04  3.1600076e+00  3.7179234e-07  8.3333328e-06  6.7956411e-07  9.9999999e-09  7.1199319e+01  2.4051133e-07  8.1831083e+01  9.9999999e-09
  6.0900000e+03  2.1835100e+03  1.6666666e-05  2.2683009e-07  1.0431500e+04  3.6285989e+00  3.9129306e-07  0.0000000e+00  2.6641647e-07  9.9999999e-09  1.0995776e+02  2.5428999e-07  8.0857362e+01  9.9999999e-09
  6.1500000e+03  2.1835100e+03  8.3333328e-06  2.1428848e-07  1.0431500e+04  2.6836412e+00  3.5456107e-07  3.3333331e-05  2.1569017e-07  9.9999999e-09  5.3401653e+01  2.8543602e-07  8.8607316e+01  9.9999999e-09
  6.2100000e+03  2.1835100e+03  0.0000000e+00  1.9585770e-07  1.0431500e+04  8.0085129e-01  4.0123755e-07  1.6666666e-05  2.4057958e-07  9.9999999e-09  1.4217503e+02  2.5780299e-07  8.9685123e+01  9.9999999e-09
